Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918222020256.1;P.S.: SANTA LUCIA, 17 MADRID;STOP;0;10
918222030371.1;P.S.: CORREGIDOR LICENCIADO ANTO 0 MADRID;STOP;0;
918222030424.1;P.S.: MEZQUITA, 0 MADRID;STOP;0;
918222070039.1;P.S.: MILAGROSA, 22 MADRID;REPROGRAMADO;176;4
918221010385.1;P.S.: MENDEZ ALVARO, 640 MADRID;STOP;0;
918222070439.1;P.S.: CGDOR DIEGO CABEZA VACA, 3 MADRID;PROGRAMADO;20;1
918221020355.9;P.S.: DIALOGO, 63 MADRID;REPROGRAMAR;74;2
918222060480.1;P.S.: RAMIREZ TOMÉ, 0 MADRID;EJECUTADO;0;
918222060514.1;P.S.: CABEZA DE MESADA, 0 MADRID;STOP;0;
918222030187.1;P.S.: SANTA EUGENIA, 0002 MADRID;STOP;0;4
918222070107.1;P.S.: CERRO MILANO, 437 MADRID;STOP;0;5
918222090024.1;P.S.: SIERRA NEVADA, 5 MADRID;REPROGRAMAR;12;4
918221010330.4;P.S.: POZO DEL TIO RAIMUNDO, 0007 MADRID;PEND.INST.PART;0;1
918221020150.1;RET.: RECOLETOS, 27 MADRID;EJECUTADO;0;
918222060468.1;P.S.: PUERTO DE BALBARÁN, 0 MADRID;STOP;0;
918221120002.1;P.S.: ISLA DE LUZON, 33 MADRID;STOP;0;4
918222090394.1;P.S.: ANDALUCIA, 00 MADRID;STOP;0;1
918222040025.1;P.F.: SAN FELIU DE GUIXOLS, 11 MADRID;STOP;0;3
918120100182.1;P.S.: LEALTAD, 0 MADRID;STOP;0;2
918222010231.1;RET.: PUERTO DE ARLABAN, 24 MADRID;REPROGRAMADO;0;6
918222050192.1;P.S.: BENIFERRI, 0041 MADRID;PEND.INST.PART;0;3
918221120176.1;P.S.: MENDEZ ALVARO, 47 MADRID;REPROGRAMADO;12;4
918221120176.9;P.S.: MENDEZ ALVARO, 47 MADRID;EJECUTABLE;12;4
918222080101.1;P.S.: SIERRA ARLA, 5 MADRID;PEND.INST.PART;0;1
918222110143.1;P.S.: MINERVA, 17 MADRID;PEND.INST.PART;0;
918221090369.1;P.S.: MIGUEL DELIBES, 65 MADRID;PEND.INST.PART;0;4
918221090369.5;P.S.: MIGUEL DELIBES, 65 MADRID;PEND.INST.PART;0;4
918222070438.1;P.S.: MARIA TERESA LEON, 14 MADRID;STOP;0;7
918222060304.1;P.S.: MARIA PITA, 42 MADRID;STOP;0;10
918222060304.9;P.S.: MARIA PITA, 42 MADRID;STOP;0;10
918220110240.1;P.S.: VILLAVERDE A VALLECAS, 0 MADRID;REPROGRAMADO;44;5
918220110240.9;P.S.: VILLAVERDE A VALLECAS, 0 MADRID;PROGRAMADO;44;5
918222050009.1;P.S.: RICARDO GOIZUETA, 25 MADRID;STOP;0;2
918222030247.1;P.S.: CERRO DEL CAMPO, 21 MADRID;STOP;0;2
918222030247.9;P.S.: CERRO DEL CAMPO, 21 MADRID;STOP;0;2
918221060013.1;P.S.: ENRIQUE URQUIJO, 91 MADRID;STOP;0;
918221060013.9;P.S.: ENRIQUE URQUIJO, 91 MADRID;STOP;0;
918221070204.1;P.S.: ILUSION, 41 MADRID;STOP;0;3
918221070204.9;P.S.: ILUSION, 41 MADRID;STOP;0;3
918222100407.1;P.S.: CERRO MILANO, 361 MADRID;EJECUTADO;0;11
918222030051.1;P.S.: ANTONIO ZAMORA, 47 MADRID;STOP;0;14
918220100079.1;P.S.: MIGUEL DELIBES, 50 MADRID;EJECUTADO;203;1
918220100079.9;P.S.: MIGUEL DELIBES, 50 MADRID;REPROGRAMAR;203;1
918222100124.1;P.S.: PRINCESA, 23 MADRID;REPROGRAMADO;49;4
